Datetime,Tweet Id,Text,Username,Type,Slow,Accident,Closure,Lane Reduction,Ramp,Stunt Driving
2021-11-02 23:14:00+00:00,1455674585056219138,"Within the last 36hrs, 6 drivers have been charged in relation to #impaireddriving
The average blood alcohol concentration was 3x the legal limit.
Choose to #drivesober 
#roadsafety #ottnews
@OttawaPolice
@MaddOttawa https://t.co/y60C1mGRbF",OPSTrafficCM,,,,,,,
2021-11-01 20:26:58+00:00,1455270159824850947,"#roadsafety #SécuritéRoutière 
@MADD_Ottawa https://t.co/wl8l3t6wD9",OPSTrafficCM,,,,,,,
2021-10-27 21:17:59+00:00,1453471059685126152,"G2 driver stopped going 98km in a school zone where the limit is 40km/h, on Cedarview in Barrhaven today.
#RoadSafety
@OttawaPolice 
Un G2 intercepté roulant à 98km dans un zone scolaire où la limite est de 40km/hr, sur Cedarview à Barrhaven. 
#SécuritéRoutière https://t.co/cXuuqtc3DV",OPSTrafficCM,,,,,,,
2021-10-26 21:22:44+00:00,1453109866252414978,"Si vous autorisez quelqu'un à emprunter votre voiture, assurez-vous qu'il a un permis de conduire valide.
Vous pouvez vérifier en ligne:
https://t.co/h9q2QCbBPz",OPSTrafficCM,,,,,,,
2021-10-26 21:22:43+00:00,1453109864524402693,"🚘emprunté fut intercepté à Woodroffe et Baseline ajd. Le permis du conducteur était suspendu depuis 2006. 
En plus, le conducteur a été jugé coupable d'avoir conduit 10x avec un permis suspendu.
🚘saisi jusqu'en mai 2022
#leçonpasapprise #sécuritéroutière",OPSTrafficCM,,,,,,,
2021-10-26 21:22:43+00:00,1453109863308054528,"If you allow someone to borrow your car make sure they have a valid driver's licence . 
You can check online at https://t.co/CcHxXWWXvw",OPSTrafficCM,,,,,,,
2021-10-26 21:22:43+00:00,1453109861877784577,"A borrowed🚘was stopped at Woodroffe and Baseline today,  the driver has been suspended since 2006. They have also been convicted 10x for driving while suspended.
🚘seized until May 2022
#LessonNotLearned #RoadSafety
@OttawaPolice",OPSTrafficCM,,,,,,,
2021-10-26 19:35:37+00:00,1453082912383979524,"Aujourd'hui, @OttawaPolice @OPP_ER @Nat_Div_RCMP @OttFire @OttawaParamedic @MADD_Ottawa @SROttawa avons lancé l'Opération Ruban Rouge 2021. 
https://t.co/bG06Gj01PK
Engagez-vous à conduire sobre cette saison estivale #ConduisezSobre https://t.co/Nyk6RuFAvQ",OPSTrafficCM,,,,,,,
2021-10-26 19:35:35+00:00,1453082903437627399,"Today, @OttawaPolice  @OPP_ER @Nat_Div_RCMP @OttFire @OttawaParamedic @MADD_Ottawa @SROttawa launched the 2021 Red Ribbon Campaign.
https://t.co/asovKzcZnO
Commit to driving sober this holiday season.#DriveSober https://t.co/A3UXp4wo0N",OPSTrafficCM,,,,,,,
2021-10-26 18:14:47+00:00,1453062569439203332,"@MADD_Ottawa has donated an Approved Screening Device to the @OttawaPolice to support our continued efforts to stop impaired driving.
#DriveSober 

Ns avons reçu un don de @MADD_Ottawa afin de continuer la lutte contre la conduite avec les facultés affaiblies.
#conduisezsobre https://t.co/voldjjR1OP",OPSTrafficCM,,,,,,,
2021-10-24 11:29:52+00:00,1452235892400197633,"Bronson Ave/Riverside Dr G2- 133km- 70km/hr  
Woodroffe Ave/Grenfell cres 133km- 80km/hr
Strandherd Dr/Greenbank Rd G2- 116km- 70km/hr
Strandherd Dr/Beatrice Dr 132km- 70km/hr
#slowdown #Ralentissez",OPSTrafficCM,,Slow,,,,,
2021-10-24 11:29:52+00:00,1452235891477553154,"Since the colder weather is not a deterrent to speeding maybe our presence will.
4 #stuntdriving charges issued Saturday evening in the West end of the City.
@OttawaPolice
Puisque le froid ne semble pas décourager ceux qui font de la vitesse on espère que notre presence aidera.",OPSTrafficCM,,,,,,,
2021-10-20 15:00:38+00:00,1450839381212901387,"Hier, nos agents ainsi que nos partenaires @ONtransport ont inspecté des véhicules commerciaux.
40 véhicules furent inspectés
28 accusations portées 
12 véhicules furent mis hors service 
Un bel example de partenariat qui a la sécurité routière en tête.
@OttawaPolice",OPSTrafficCM,,,,,,,
2021-10-20 15:00:38+00:00,1450839379426086917,"Yesterday, OPS traffic officers, patrol officers and @ONtransport conducted a Commercial Vehicle Inspection Operation.
40 vehicles were inspected 
28 charges were laid
12 vehicles were placed out of service 
One way partnerships help keep our roads safe.
@OttawaPolice https://t.co/JzmDbabF9T",OPSTrafficCM,,,,,,,
2021-10-17 14:21:28+00:00,1449742361815396355,Correction- it is Longfields Dr and Paul Metivier Dr. https://t.co/NT1Tj2Et32,OPSTrafficCM,,,,,,,
2021-10-17 13:24:23+00:00,1449727997615951873,"Vehicles seized for 14 days/véhicules saisis pour 14jrs.

License suspended for 30/permis suspendu pour 30.

#SlowDown #Ralentissez",OPSTrafficCM,,Slow,,,,,
